customer_id,preferred_payment_method,risk_tier
6ec5f2b4-0f13-45ee-a7f2-8ded4a83963f,upi,high
1d3197a1-e16f-47c0-b16c-42c83266de49,wallet,medium
96a63a09-9015-42ef-b9e6-de9d533ba3aa,upi,medium
c4e8cb98-2088-416a-a248-b5558b23d23f,netbanking,high
7e7bb9e1-e2d0-4900-8219-588df5165d4f,upi,medium
089d91e2-7ad2-4b99-bb00-36dee089adc3,upi,low
8ba41b22-eac3-48ef-87b0-24df3bbf56b8,wallet,high
d67c4e7a-d1f8-4707-b646-a09fb2b8390b,card,high
b56e48cb-5ad9-4829-aef9-937990b2cb8e,wallet,high
93c71f30-3ae5-401a-aa2f-fb94569563b3,upi,medium
8c436db2-a7f0-4552-9ede-c62ff342f863,upi,high
09030471-9e2b-424c-854f-cc3716de8046,netbanking,high
666798af-3bed-4f6a-8750-cdd01c44e5a8,netbanking,low
dc5b4be6-e791-42d5-ab99-09437e2d08d5,card,low
6d3833c2-d155-47dc-9b22-c29974394b4e,netbanking,low
948a5a5b-2c02-4397-be2f-5f5171219ef9,netbanking,high
276478f7-9532-484b-94cd-f940b1b0c016,wallet,low
e8b0cecf-4030-425b-ab6b-4c27c4efa3e0,card,high
31acb1ae-c437-4079-9b33-ae76b2b00c39,wallet,high
a6740ea8-e7d7-4fe3-8372-74c9f59d360d,wallet,medium
893899b7-a15f-41e6-869f-fa1f2b7e9fc4,upi,medium
4addcbc9-ffe6-4cdc-8fd9-74ae4ded8140,card,medium
ea0fcae7-bcba-4f8f-9de7-9e932a6ca248,wallet,high
464d62e7-f26b-4a2d-9ac8-cbda348cb5d5,card,low
041b4a83-2fec-4480-a87c-17f82de012a2,card,high
4df8ad3f-c8bb-4bcf-b71c-59306ca57b4d,netbanking,low
46410537-6915-4620-8788-692bf39dfd88,card,low
24a65569-d4b6-4cf6-926a-0cff554dfcfb,card,high
4e4e0a9b-cb61-4d2b-840f-837780fcffa9,card,medium
c4692aab-43e9-4f15-95d2-693485a255dc,card,medium
9b19e4d5-ab3e-4855-aaf0-8f5b66cb9cfb,netbanking,medium
49a23798-b645-4740-85a4-faa0a78369f6,card,high
da3317fa-bc12-477a-963a-3dc50001110f,netbanking,low
b223d811-1686-4cae-ab5a-432548bedecf,upi,low
2b1d7e32-f5b4-4505-9e16-ca4af163bc99,wallet,high
a037965c-27a8-4ae8-8ef9-a54845d8f4cc,upi,medium
1a1d7394-1c25-44bc-be34-df773f40754c,wallet,medium
e3510c10-18ab-4731-ba4f-fc466a3dbf4b,upi,low
0eb6b3a9-1746-49b9-a875-1cfa5d445d1a,upi,medium
f336c28a-bfeb-454d-9b43-08b8f9abd7b1,wallet,low
e3bfca68-162e-4e01-8d02-6536974d58c2,upi,high
22ba6e16-57ce-4254-bc20-88740361310f,card,medium
dfde83cb-5e86-41ea-a6ea-b0f999eba979,wallet,high
d95c03e8-14be-4534-97e6-d195d73d6769,netbanking,medium
7992327f-53a3-4219-ae34-e13ec1e1bd1a,card,medium
ab8230af-9aef-467b-ba69-0b0f47650504,netbanking,high
9d67f949-6199-4419-925e-b3e9438dcaae,netbanking,low
1fe3573f-f93d-4753-94fe-0b92dbba6182,upi,high
185f4a97-5a39-4823-98e8-7b247dd33b91,wallet,high
a706c145-ed80-46b4-b562-643f55472b11,card,low
8dd38976-e338-438b-aec4-8e090e322577,card,high
29041952-3476-4c4c-a231-125829ddb1e0,card,high
054b0597-9c6d-4299-8d6b-167422963306,netbanking,medium
7854be2b-ea34-4569-aded-4c9b5fc8a29d,upi,medium
d62df6e7-cded-44e5-9460-a8a74d7c49e2,wallet,medium
cc856da5-35b4-476f-94be-dd02c20b679a,upi,high
a49997a1-a5c4-4c1a-b593-3ee551ec3c5a,card,high
f1dddad0-d307-49cb-9e99-e3dfaf486605,card,medium
baf4a6e2-4e2a-4966-8b9c-28982edaf884,netbanking,medium
8cea098d-bc7b-4381-8622-87ca11a9ebdd,netbanking,low
0c73cce6-af14-4565-98b8-c06fc48b7334,upi,high
f2bf05d4-aeae-4adc-8238-9e5392cc1d30,upi,high
4c8fbe84-ec1a-4712-acf6-d46d3e9415bd,upi,high
07b2c54c-8e87-42b7-a001-126b5fd7c2bc,card,medium
d809a906-8e4d-48c4-922f-824eb580be83,netbanking,medium
57a75596-550b-4639-9e72-6e9f9e17d273,card,high
3fb11a9d-9611-43e7-840a-1f1fe347afdc,upi,low
ba273e5f-c850-4823-97ed-bde2c439af18,netbanking,medium
3ebd22e0-84c9-49cb-a350-259218add175,upi,high
868c4ae9-b257-4efc-879d-5846384e2b77,upi,medium
6d0808d7-3458-45b7-9a64-36606fc38b57,wallet,low
efbaa82a-b181-4084-bf15-2e7ca359918e,wallet,low
e3702dd7-2961-436b-825c-90c46370991b,wallet,low
077d0d43-659f-440c-9354-5f0e478d139c,card,low
52b59904-d923-48b4-a180-42340379f0db,wallet,medium
93f925bf-c81d-417f-884d-4905e73f73ac,card,medium
ec24c2da-7b03-40c6-9e18-6f8ff0fc6c1e,upi,medium
85a8ebac-d6a3-48a7-9fcc-a11205723d15,card,low
3f860244-9ca6-4a08-8e66-8c50c31c9b9c,upi,high
2d42dd83-3b0f-46e1-a7da-59812de019be,netbanking,high
3d78124c-db75-49a9-baeb-bcd1aa79f556,upi,high
9c7894aa-3218-4c31-b62a-b98d57383d22,netbanking,high
af4979b6-4cd8-437b-a243-7cd5810e3e35,netbanking,low
f1705ae9-ebdf-45c8-ac91-7ee4d7a91abb,upi,medium
a827ce6b-c81a-4f2f-adb2-3652c0f21098,wallet,low
984c8694-3767-45f3-a48e-c1140fa7bb02,upi,low
e163930c-fd84-4f8d-a93f-3a3a5d19a0dd,wallet,medium
92a87ce2-206d-4baf-acdf-cce6d08429d9,wallet,high
91be324f-0110-4176-9661-4d5589f039d5,card,medium
849f12c2-71c5-4090-b5d3-58e87380ae4a,wallet,high
ff2f134f-17c7-47b5-a099-a27972788bd5,upi,medium
42576b52-0f38-4da9-8abc-bc327837447f,upi,low
4191e20f-0441-4270-a1a1-67c59ed26dd8,upi,medium
71d17e38-c5df-472f-9d6c-5547f6c84d3d,netbanking,high
84b47802-2464-4590-b7f8-f28d4334e0b9,card,high
555aacbe-5cbb-4dfb-92a7-7a612ab89ccb,upi,low
2ade7845-a828-4864-835f-7063a48cf3cc,netbanking,low
63d7c4a5-cad1-46a4-88fb-95f5c5e9fcb2,upi,high
31068133-5733-44e6-ace7-52f086b818a6,netbanking,low
3fad5dfb-d323-4cfe-ad29-44aedbfa1050,card,high
