amount,payment_method,failure_reason,risk_tier,attempt_number,hours_since_failure,customer_prior_success_rate,action,recovery_success
5294.088,1,1,2,1,19.0,0.5,0,0
5294.088,1,1,2,2,45.0,0.0,0,0
54311.602,2,1,1,1,29.0,0.5,3,0
54141.544,2,1,1,1,41.0,0.0,3,0
54141.544,2,1,1,2,41.0,0.0,3,0
94196.171,2,0,1,1,46.0,0.0,2,0
54141.544,2,1,1,3,51.0,0.0,0,0
94196.171,2,0,1,2,59.0,0.0,0,0
73947.363,1,1,0,1,53.0,0.5,1,0
30655.751,1,1,1,1,5.0,0.5,3,0
35484.318,1,0,1,1,19.0,0.0,1,0
35484.318,1,0,1,2,49.0,0.0,0,1
92601.167,1,0,1,1,59.0,0.3333333333333333,0,0
30021.44,0,0,0,1,44.0,0.5,1,0
15951.349,2,0,2,1,10.0,0.5,3,1
15951.349,2,0,2,2,27.0,1.0,0,0
95096.066,2,0,2,1,48.0,0.5,3,0
95096.066,2,0,2,2,64.0,0.3333333333333333,1,0
3141.438,0,1,2,1,38.0,0.5,2,1
14375.586,0,0,2,1,50.0,1.0,0,1
3141.438,0,1,2,2,61.0,1.0,0,0
34059.492,0,1,1,1,6.0,0.5,3,0
83961.82,3,1,2,1,30.0,0.5,1,1
83961.82,3,1,2,2,33.0,1.0,1,0
15568.086,3,0,2,1,37.0,0.5,2,0
8396.057,3,0,2,1,67.0,0.3333333333333333,1,0
64124.66,3,0,2,1,70.0,0.25,2,0
64124.66,3,0,2,2,71.0,0.2,0,0
72292.664,3,1,1,1,42.0,0.5,0,0
30967.041,3,0,1,1,4.0,0.5,2,1
91688.558,3,1,1,1,4.0,1.0,2,1
6386.588,3,0,1,1,38.0,1.0,3,0
37613.192,3,0,1,1,50.0,0.6666666666666666,3,0
6386.588,3,0,1,2,57.0,0.5,3,0
37613.192,3,0,1,2,71.0,0.4,1,0
23324.701,0,1,2,1,46.0,0.5,2,1
11075.68,0,0,2,1,46.0,1.0,1,0
11075.68,0,0,2,2,47.0,0.5,0,0
54923.872,0,1,2,1,68.0,0.3333333333333333,1,1
40331.265,1,1,1,1,4.0,0.5,2,1
90884.452,1,1,1,1,14.0,1.0,3,1
40331.265,1,1,1,2,26.0,1.0,3,0
13082.642,1,0,1,1,37.0,0.6666666666666666,1,1
99685.789,1,0,1,1,46.0,0.75,1,0
65915.634,1,0,1,1,71.0,0.6,0,0
3008.778,1,0,2,1,6.0,0.5,3,0
3008.778,1,0,2,2,15.0,0.0,0,0
17099.702,1,0,2,1,18.0,0.0,3,0
17099.702,1,0,2,2,18.0,0.0,0,0
3008.778,1,0,2,3,18.0,0.0,1,0
59758.436,3,0,0,1,1.0,0.5,2,0
34100.745,3,1,0,1,11.0,0.0,3,1
59758.436,3,0,0,2,11.0,0.5,1,1
26720.297,3,0,0,1,16.0,0.6666666666666666,1,0
34100.745,3,1,0,2,45.0,0.5,3,0
34100.745,3,1,0,3,57.0,0.4,3,0
19145.88,3,1,0,1,63.0,0.3333333333333333,0,0
26720.297,3,0,0,2,63.0,0.2857142857142857,0,0
72846.306,1,1,2,1,4.0,0.5,1,0
43683.353,1,1,2,1,18.0,0.0,2,0
69206.365,1,1,2,1,21.0,0.0,3,0
3277.708,1,0,2,1,29.0,0.0,0,0
72846.306,1,1,2,2,45.0,0.0,1,0
43683.353,1,1,2,2,57.0,0.0,0,1
43683.353,1,1,2,3,61.0,0.16666666666666666,3,0
86052.648,2,0,0,1,36.0,0.5,0,1
3324.577,2,0,0,1,37.0,1.0,0,0
66609.543,2,1,0,1,38.0,0.5,3,1
36657.182,2,1,0,1,41.0,0.6666666666666666,2,0
84073.814,2,0,0,1,47.0,0.5,3,0
36657.182,2,1,0,2,49.0,0.4,2,0
86052.648,2,0,0,2,51.0,0.3333333333333333,0,0
86052.648,2,0,0,3,54.0,0.2857142857142857,3,0
92949.735,3,1,2,1,8.0,0.5,0,1
92949.735,3,1,2,2,18.0,1.0,0,0
92949.735,3,1,2,3,25.0,0.5,0,1
93887.418,3,1,2,1,63.0,0.6666666666666666,3,0
72482.755,3,0,2,1,66.0,0.5,3,0
57158.158,2,0,2,1,1.0,0.5,0,0
60814.998,2,0,2,1,33.0,0.0,3,0
60814.998,2,0,2,2,52.0,0.0,1,0
60814.998,2,0,2,3,70.0,0.0,1,0
92257.488,2,0,0,1,5.0,0.5,0,1
92257.488,2,0,0,2,20.0,1.0,1,0
66765.622,2,0,0,1,33.0,0.5,1,1
92257.488,2,0,0,3,34.0,0.6666666666666666,1,0
31370.345,3,1,2,1,5.0,0.5,0,0
39231.858,3,0,2,1,6.0,0.0,2,0
31370.345,3,1,2,2,33.0,0.0,0,0
39231.858,3,0,2,2,35.0,0.0,0,0
31370.345,3,1,2,3,41.0,0.0,3,1
39231.858,3,0,2,3,59.0,0.2,2,0
5628.619,0,0,2,1,8.0,0.5,0,0
61225.471,0,0,2,1,9.0,0.0,3,0
13913.561,0,0,2,1,13.0,0.0,0,1
13913.561,0,0,2,2,15.0,0.3333333333333333,1,0
13913.561,0,0,2,3,21.0,0.25,1,0
39971.704,0,1,2,1,41.0,0.2,0,0
99411.281,0,1,2,1,43.0,0.16666666666666666,1,0
39971.704,0,1,2,2,51.0,0.14285714285714285,1,0
20250.883,0,1,2,1,45.0,0.5,0,0
6695.135,0,0,2,1,10.0,0.5,3,0
57582.846,0,1,2,1,11.0,0.0,2,1
57582.846,0,1,2,2,12.0,0.5,0,0
50572.637,0,0,2,1,27.0,0.3333333333333333,1,0
96203.187,0,1,2,1,35.0,0.25,3,0
50572.637,0,0,2,2,53.0,0.2,0,0
96203.187,0,1,2,2,55.0,0.16666666666666666,2,1
57582.846,0,1,2,3,55.0,0.2857142857142857,1,0
50572.637,0,0,2,3,65.0,0.25,1,1
80720.576,1,0,2,1,5.0,0.5,3,0
18145.059,1,0,2,1,5.0,0.0,0,1
18145.059,1,0,2,2,17.0,0.5,3,0
7672.362,1,1,2,1,37.0,0.3333333333333333,3,0
18145.059,1,0,2,3,42.0,0.25,2,0
37747.682,1,1,2,1,48.0,0.2,1,0
37747.682,1,1,2,2,53.0,0.16666666666666666,1,1
7672.362,1,1,2,2,68.0,0.2857142857142857,1,0
63991.337,0,0,0,1,8.0,0.5,1,0
63991.337,0,0,0,2,17.0,0.0,2,1
52593.545,0,1,0,1,24.0,0.5,0,0
52593.545,0,1,0,2,25.0,0.3333333333333333,0,0
74671.442,0,1,0,1,29.0,0.25,0,1
91291.115,0,0,0,1,31.0,0.4,1,1
91291.115,0,0,0,2,51.0,0.5,2,1
52593.545,0,1,0,3,52.0,0.5714285714285714,3,0
91291.115,0,0,0,3,58.0,0.5,0,0
12799.719,0,1,1,1,6.0,0.5,1,1
12799.719,0,1,1,2,21.0,1.0,2,1
96059.902,0,0,1,1,29.0,1.0,3,0
96059.902,0,0,1,2,31.0,0.6666666666666666,1,0
96059.902,0,0,1,3,38.0,0.5,0,0
2345.883,0,0,1,1,47.0,0.4,0,0
87695.596,0,1,1,1,52.0,0.3333333333333333,1,0
87695.596,0,1,1,2,60.0,0.2857142857142857,0,0
87695.596,0,1,1,3,64.0,0.25,3,1
12799.719,0,1,1,3,71.0,0.3333333333333333,1,0
2345.883,0,0,1,2,72.0,0.3,1,0
25881.836,0,1,0,1,5.0,0.5,0,0
21724.984,0,1,0,1,17.0,0.0,2,1
80115.948,0,0,0,1,20.0,0.5,0,0
3887.5,0,0,0,1,29.0,0.3333333333333333,0,1
19177.504,0,1,0,1,30.0,0.5,3,0
80115.948,0,0,0,2,39.0,0.4,1,1
25881.836,0,1,0,2,47.0,0.5,2,1
77195.384,1,0,0,1,1.0,0.5,3,0
84917.262,1,0,0,1,10.0,0.0,3,1
84917.262,1,0,0,2,23.0,0.5,2,1
77195.384,1,0,0,2,61.0,0.6666666666666666,0,0
16867.961,1,1,0,1,21.0,0.5,1,0
31032.614,1,1,0,1,26.0,0.0,2,1
7460.795,1,1,0,1,30.0,0.5,0,0
16867.961,1,1,0,2,36.0,0.3333333333333333,1,0
16867.961,1,1,0,3,38.0,0.25,2,1
72470.005,1,0,0,1,46.0,0.4,0,0
31032.614,1,1,0,2,51.0,0.3333333333333333,0,1
