attempt_id,transaction_id,action,outcome,recovered_amount
attempt-1,transaction-1,retry_immediately,failure,12.42
attempt-2,transaction-1,send_payment_reminder,failure,9.86
attempt-3,transaction-2,retry_after_delay,success,26.94
attempt-4,transaction-2,send_payment_reminder,success,39.44
attempt-5,transaction-3,send_payment_reminder,success,13.71
attempt-6,transaction-3,retry_after_delay,failure,35.45
attempt-7,transaction-4,send_payment_reminder,failure,17.0
attempt-8,transaction-4,retry_after_delay,failure,30.52
attempt-9,transaction-5,retry_immediately,failure,18.38
attempt-10,transaction-6,retry_immediately,success,64.55
attempt-11,transaction-6,retry_after_delay,success,14.14
attempt-12,transaction-8,send_payment_reminder,success,27.03
attempt-13,transaction-9,send_payment_reminder,failure,44.35
attempt-14,transaction-10,retry_immediately,success,94.2
attempt-15,transaction-11,retry_after_delay,failure,4.8
attempt-16,transaction-12,retry_immediately,failure,13.45
attempt-17,transaction-13,use_another_payment_method,failure,42.93
attempt-18,transaction-13,send_payment_reminder,failure,62.87
attempt-19,transaction-13,send_payment_reminder,failure,18.16
attempt-20,transaction-14,use_another_payment_method,failure,110.6
attempt-21,transaction-15,send_payment_reminder,success,111.73
attempt-22,transaction-15,retry_after_delay,failure,52.59
attempt-23,transaction-17,retry_after_delay,success,31.12
attempt-24,transaction-18,retry_after_delay,success,24.38
attempt-25,transaction-19,send_payment_reminder,failure,9.8
attempt-26,transaction-19,send_payment_reminder,failure,142.45
attempt-27,transaction-21,send_payment_reminder,success,79.77
attempt-28,transaction-21,use_another_payment_method,failure,72.22
attempt-29,transaction-21,send_payment_reminder,success,41.31
attempt-30,transaction-22,send_payment_reminder,failure,3.73
attempt-31,transaction-22,use_another_payment_method,failure,93.18
attempt-32,transaction-23,retry_after_delay,success,149.9
attempt-33,transaction-23,retry_immediately,success,106.23
attempt-34,transaction-23,retry_after_delay,failure,30.04
attempt-35,transaction-24,send_payment_reminder,failure,32.03
attempt-36,transaction-24,use_another_payment_method,failure,115.21
attempt-37,transaction-25,use_another_payment_method,failure,10.71
attempt-38,transaction-25,retry_immediately,failure,0.82
attempt-39,transaction-25,retry_immediately,failure,9.52
attempt-40,transaction-29,retry_after_delay,success,82.74
attempt-41,transaction-30,retry_after_delay,failure,82.96
attempt-42,transaction-31,send_payment_reminder,failure,112.6
attempt-43,transaction-32,retry_immediately,success,27.25
attempt-44,transaction-35,send_payment_reminder,failure,165.67
attempt-45,transaction-35,retry_after_delay,success,104.19
attempt-46,transaction-36,retry_immediately,failure,75.18
attempt-47,transaction-39,send_payment_reminder,failure,5.97
attempt-48,transaction-39,use_another_payment_method,success,73.6
attempt-49,transaction-40,retry_immediately,failure,55.45
attempt-50,transaction-40,send_payment_reminder,success,25.13
attempt-51,transaction-40,use_another_payment_method,failure,26.83
attempt-52,transaction-41,use_another_payment_method,success,121.56
attempt-53,transaction-41,retry_immediately,failure,129.01
attempt-54,transaction-42,send_payment_reminder,failure,48.12
attempt-55,transaction-43,use_another_payment_method,success,16.02
attempt-56,transaction-43,use_another_payment_method,failure,11.18
attempt-57,transaction-43,use_another_payment_method,success,16.97
attempt-58,transaction-44,retry_immediately,success,83.64
attempt-59,transaction-45,retry_after_delay,failure,41.38
attempt-60,transaction-45,send_payment_reminder,failure,50.8
attempt-61,transaction-45,retry_immediately,failure,14.2
attempt-62,transaction-46,use_another_payment_method,failure,41.79
attempt-63,transaction-47,send_payment_reminder,failure,69.7
attempt-64,transaction-47,send_payment_reminder,failure,60.75
attempt-65,transaction-48,retry_immediately,success,42.66
attempt-66,transaction-49,retry_after_delay,success,88.82
attempt-67,transaction-50,use_another_payment_method,success,142.97
attempt-68,transaction-50,use_another_payment_method,success,61.97
attempt-69,transaction-51,retry_immediately,success,43.8
attempt-70,transaction-51,retry_immediately,failure,111.36
